card_name,issuer,is_business,bonus_amount,bonus_currency,point_value_cpp,bonus_value_usd,min_spend_usd,spend_window_months,annual_fee_usd,annual_fee_waived_y1,first_year_credits_usd,estimated_first_year_value_usd,notes,source,source_url,source_checked
AmEx Business Platinum,American Express,true,300000,Amex MR,1.6,4800,20000,3,895,false,500,4405,$500 (estimated value) of various credits once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
Chase Sapphire Reserve for Business,Chase,true,200000,Chase UR,1.6,3200,30000,3,795,false,600,3005,$600 travel credit (easy $300) plus ($300 estimated value) of various credit once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
AmEx Business Gold,American Express,true,200000,Amex MR,1.6,3200,15000,3,295,false,0,2905,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
AmEx Platinum,American Express,false,175000,Amex MR,1.6,2800,8000,6,895,false,900,2805,$900 (estimated value) of various credits once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
Capital One Venture X Business,Capital One,true,150000,Capital One miles,1.6,2400,30000,3,395,false,300,2305,$300 Travel Credit once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
Capital One Spark Cash Plus,Capital One,true,2000,USD,1.0,2000,30000,3,150,false,0,1850,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
Chase Ink Cash,Chase,true,100000,Chase UR,1.6,1600,8000,3,0,false,0,1600,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
Chase United Business,Chase,true,110000,United miles,1.4,1540,5000,3,150,true,0,1540,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
Capital One Spark Cash,Capital One,true,1000,USD,1.0,1000,10000,3,95,true,0,1000,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
AmEx Marriott Bonvoy Business,American Express,true,5,hotel nights,,,9000,6,125,false,,925,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
AmEx Platinum for Morgan Stanley,American Express,false,150000,Amex MR,1.6,2400,12000,6,895,false,900,2405,$900 (estimated value) of various credits once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
AmEx Platinum for Schwab,American Express,false,150000,Amex MR,1.6,2400,12000,6,895,false,900,2405,$900 (estimated value) of various credits once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
AmEx Graphite,American Express,false,2000,USD,1.0,2000,50000,6,295,false,0,1705,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
Chase Ink Unlimited,Chase,true,100000,Chase UR,1.6,1600,8000,3,0,false,0,1600,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
Capital One Venture Business,Capital One,true,100000,Capital One miles,1.6,1600,10000,3,95,false,0,1505,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
Chase Ink Preferred,Chase,true,100000,Chase UR,1.6,1600,8000,3,95,false,0,1505,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
